PLAYER_NAME,TEAM_ABBREVIATION,GAMES_PLAYED,AVG_POINTS,AVG_REBOUNDS,AVG_ASSISTS,FG_PCT
James Harden,HOU,748,29.0,5.9,7.6,44.0
Kevin Durant,BKN,147,28.8,7.1,5.6,54.0
Allen Iverson,PHI,252,28.4,3.4,7.1,41.8
Donovan Mitchell,CLE,32,28.3,3.9,4.4,49.7
Kevin Durant,OKC,689,27.9,7.4,3.8,49.1
Tracy McGrady,ORL,68,27.8,6.0,5.5,40.1
Kawhi Leonard,TOR,87,27.2,7.7,3.5,49.0
LeBron James,CLE,1043,27.1,7.4,7.3,49.0
Luka Doncic,DAL,339,26.9,8.5,7.9,45.7
Kobe Bryant,LAL,1025,26.6,5.3,4.9,44.1
LeBron James,MIA,401,26.5,7.6,6.4,53.3
DeMar DeRozan,CHI,119,26.5,5.1,4.8,50.0
LeBron James,LAL,293,26.2,8.0,7.9,50.8
Kevin Durant,GSW,270,26.2,7.0,5.1,53.2
Kyrie Irving,BKN,146,26.1,4.7,5.5,48.7
Joel Embiid,PHI,415,25.6,11.0,3.2,48.6
Zion Williamson,NOP,120,25.0,6.9,3.5,61.5
Trae Young,ATL,352,25.0,3.7,8.9,42.6
Russell Westbrook,HOU,72,25.0,7.5,6.5,46.0
Anthony Davis,NOP,449,25.0,10.7,2.2,51.4
Paul George,OKC,173,24.9,6.9,3.6,43.1
Allen Iverson,DEN,152,24.9,2.9,6.9,45.0
Kawhi Leonard,LAC,155,24.6,6.7,4.7,48.9
DeMarcus Cousins,NOP,69,24.5,12.4,4.9,46.8
Carmelo Anthony,DEN,645,24.5,6.3,3.1,45.4
Damian Lillard,POR,842,24.4,4.1,6.5,43.2
Carmelo Anthony,NYK,462,24.4,6.9,3.1,43.9
Stephen Curry,GSW,1059,24.3,4.7,6.4,46.6
Ray Allen,SEA,295,24.2,4.4,3.9,44.2
Anthony Davis,LAL,206,24.1,9.3,3.0,51.6
Gilbert Arenas,WAS,408,24.1,4.1,5.6,41.4
Isaiah Thomas,BOS,212,24.0,2.7,5.9,43.5
Donovan Mitchell,UTA,403,23.9,4.2,4.4,43.9
Zach LaVine,CHI,323,23.8,4.6,4.3,46.4
Kyrie Irving,BOS,141,23.6,4.4,6.1,48.0
Devin Booker,PHX,564,23.5,4.0,4.6,44.7
Vince Carter,NJN,425,23.3,5.8,4.6,44.6
D'Angelo Russell,GSW,37,23.0,3.5,5.9,42.0
Brandon Ingram,NOP,212,22.9,5.5,4.8,46.7
Russell Westbrook,OKC,961,22.8,6.9,8.3,42.9
Amar'e Stoudemire,PHX,501,22.7,8.9,1.3,54.8
James Harden,BKN,92,22.7,7.9,10.2,43.2
Paul George,LAC,200,22.6,6.5,4.7,43.8
Tracy McGrady,HOU,341,22.6,5.5,5.5,41.0
Karl-Anthony Towns,MIN,549,22.5,11.0,3.1,52.6
Shai Gilgeous-Alexander,OKC,209,22.5,5.1,4.8,47.4
Dwyane Wade,MIA,1177,22.3,4.7,5.4,47.8
Giannis Antetokounmpo,MIL,800,22.3,9.6,4.6,51.7
Lauri Markkanen,UTA,36,22.1,7.9,2.0,52.9
Ja Morant,MEM,246,22.1,4.8,7.3,46.6
