TEAM_NAME,AVG_HOME_PTS,AVG_AWAY_PTS,HOME_ADVANTAGE,HOME_FG_PCT,AWAY_FG_PCT
Spurs,104.1,96.7,7.3,47.9,44.5
Warriors,109.5,103.6,6.0,47.5,44.5
Nuggets,108.6,103.1,5.5,47.1,45.2
Jazz,103.4,98.0,5.4,47.0,44.5
Mavericks,105.0,100.1,4.8,46.3,45.2
Celtics,102.6,98.1,4.5,46.4,44.0
Heat,102.2,97.6,4.5,47.3,44.4
Rockets,104.7,100.3,4.4,45.2,44.5
Pacers,102.4,98.4,4.0,45.4,43.8
Raptors,104.1,100.6,3.5,46.0,45.2
Thunder,105.3,101.9,3.3,46.4,45.0
Suns,107.7,104.6,3.1,47.3,45.5
Clippers,103.8,100.9,3.0,46.6,44.6
Trail Blazers,103.9,101.1,2.8,45.9,45.6
Lakers,104.5,101.7,2.8,46.0,44.6
Grizzlies,101.6,98.9,2.7,45.7,44.7
Cavaliers,101.9,99.3,2.6,45.7,45.0
Bucks,104.1,101.6,2.5,46.1,45.0
Pistons,99.8,97.4,2.3,45.2,45.1
Bulls,100.6,98.6,1.9,44.6,44.2
Hawks,102.8,101.3,1.5,46.0,45.3
Pelicans,102.3,100.9,1.4,46.1,45.7
76ers,101.8,100.4,1.4,45.6,44.9
Wizards,104.0,102.9,1.2,46.0,45.8
Magic,101.3,100.3,1.0,45.8,44.9
Kings,105.3,105.2,0.1,46.4,46.3
Timberwolves,102.5,102.5,-0.1,45.4,45.7
Hornets,100.6,100.7,-0.1,44.4,45.2
Nets,101.0,101.2,-0.2,45.2,45.2
Knicks,102.0,102.4,-0.4,45.2,45.7
