CONFERENCE,TEAM,GAMES_PLAYED,WINS,LOSSES,WIN_PCT,HOME_RECORD,ROAD_RECORD
East,Atlanta,2,2,0,100.0,2-0,0-0
East,Milwaukee,4,4,0,100.0,3-0,1-0
East,Milwaukee,8,8,0,100.0,6-0,2-0
East,Washington,1,1,0,100.0,0-0,1-0
East,Milwaukee,5,5,0,100.0,4-0,1-0
East,Boston,3,3,0,100.0,1-0,2-0
East,Milwaukee,2,2,0,100.0,1-0,1-0
East,Chicago,1,1,0,100.0,0-0,1-0
East,Detroit,1,1,0,100.0,1-0,0-0
East,Boston,1,1,0,100.0,1-0,0-0
East,Milwaukee,1,1,0,100.0,0-0,1-0
East,Washington,2,2,0,100.0,1-0,1-0
East,Atlanta,1,1,0,100.0,1-0,0-0
East,Toronto,1,1,0,100.0,1-0,0-0
East,Milwaukee,7,7,0,100.0,6-0,1-0
East,Charlotte,1,1,0,100.0,0-0,1-0
East,Boston,2,2,0,100.0,1-0,1-0
East,Milwaukee,6,6,0,100.0,5-0,1-0
East,Milwaukee,3,3,0,100.0,2-0,1-0
East,Milwaukee,9,9,0,100.0,7-0,2-0
East,Milwaukee,11,10,1,90.9,7-0,3-1
East,Milwaukee,10,9,1,90.0,7-0,2-1
East,Cleveland,9,8,1,88.9,4-0,4-1
East,Cleveland,8,7,1,87.5,4-0,3-1
East,Cleveland,7,6,1,85.7,4-0,2-1
East,Cleveland,6,5,1,83.3,3-0,2-1
East,Milwaukee,12,10,2,83.3,7-0,3-2
East,Boston,22,18,4,81.8,11-1,7-3
East,Boston,16,13,3,81.3,6-1,7-2
East,Boston,21,17,4,81.0,10-1,7-3
East,Boston,26,21,5,80.8,11-2,10-3
East,Cleveland,5,4,1,80.0,2-0,2-1
East,Cleveland,10,8,2,80.0,4-0,4-2
East,Boston,20,16,4,80.0,9-1,7-3
East,Boston,25,20,5,80.0,11-2,9-3
East,Boston,15,12,3,80.0,6-1,6-2
East,Atlanta,5,4,1,80.0,2-1,2-0
East,Boston,24,19,5,79.2,11-2,8-3
East,Boston,19,15,4,78.9,8-1,7-3
East,Milwaukee,14,11,3,78.6,8-1,3-2
East,Boston,14,11,3,78.6,6-1,5-2
East,Boston,23,18,5,78.3,11-2,7-3
East,Boston,18,14,4,77.8,7-1,7-3
East,Boston,27,21,6,77.8,11-2,10-4
East,Milwaukee,13,10,3,76.9,7-1,3-2
East,Boston,13,10,3,76.9,5-1,5-2
East,Boston,17,13,4,76.5,6-1,7-3
East,Milwaukee,25,19,6,76.0,12-3,7-3
East,Boston,29,22,7,75.9,11-2,11-5
East,Washington,4,3,1,75.0,2-0,1-1
East,Cleveland,4,3,1,75.0,2-0,1-1
East,Milwaukee,24,18,6,75.0,12-3,6-3
East,Milwaukee,20,15,5,75.0,11-2,4-3
East,Boston,4,3,1,75.0,1-0,2-1
East,Milwaukee,16,12,4,75.0,9-1,3-3
East,Boston,12,9,3,75.0,5-1,4-2
East,Atlanta,4,3,1,75.0,2-1,1-0
East,Boston,28,21,7,75.0,11-2,10-5
East,New York,4,3,1,75.0,3-0,0-1
East,Milwaukee,27,20,7,74.1,13-3,7-4
East,Milwaukee,23,17,6,73.9,11-3,6-3
East,Milwaukee,19,14,5,73.7,11-2,3-3
East,Milwaukee,30,22,8,73.3,14-3,8-5
East,Boston,30,22,8,73.3,11-3,11-5
East,Milwaukee,15,11,4,73.3,8-1,3-3
East,Milwaukee,26,19,7,73.1,12-3,7-4
East,Milwaukee,22,16,6,72.7,11-3,5-3
East,Boston,11,8,3,72.7,4-1,4-2
East,Cleveland,11,8,3,72.7,4-0,4-3
East,Milwaukee,29,21,8,72.4,14-3,7-5
East,Milwaukee,18,13,5,72.2,10-2,3-3
East,Milwaukee,21,15,6,71.4,11-3,4-3
East,Milwaukee,28,20,8,71.4,13-3,7-5
East,Milwaukee,31,22,9,71.0,14-3,8-6
East,Boston,31,22,9,71.0,11-4,11-5
East,Milwaukee,17,12,5,70.6,9-2,3-3
East,Boston,10,7,3,70.0,3-1,4-2
East,Atlanta,10,7,3,70.0,4-1,3-2
East,Boston,32,22,10,68.8,11-5,11-5
East,Washington,3,2,1,66.7,1-0,1-1
East,Cleveland,12,8,4,66.7,4-0,4-4
East,Atlanta,3,2,1,66.7,2-1,0-0
East,Boston,9,6,3,66.7,3-1,3-2
East,Atlanta,12,8,4,66.7,5-2,3-2
East,Cleveland,18,12,6,66.7,8-1,4-5
East,Atlanta,6,4,2,66.7,2-1,2-1
East,Charlotte,3,2,1,66.7,0-1,2-0
East,New York,3,2,1,66.7,2-0,0-1
East,Atlanta,9,6,3,66.7,3-1,3-2
East,Boston,6,4,2,66.7,2-1,2-1
East,Cleveland,3,2,1,66.7,1-0,1-1
East,Cleveland,33,22,11,66.7,16-2,6-9
East,Cleveland,32,21,11,65.6,15-2,6-9
East,Cleveland,23,15,8,65.2,10-1,5-7
East,Cleveland,20,13,7,65.0,8-1,5-6
East,Cleveland,17,11,6,64.7,7-1,4-5
East,Cleveland,31,20,11,64.5,14-2,6-9
East,Atlanta,14,9,5,64.3,5-2,4-3
East,Cleveland,25,16,9,64.0,11-1,5-8
East,Cleveland,22,14,8,63.6,9-1,5-7
East,Atlanta,11,7,4,63.6,4-2,3-2
East,Cleveland,30,19,11,63.3,13-2,6-9
East,Cleveland,19,12,7,63.2,8-1,4-6
East,Cleveland,27,17,10,63.0,12-2,5-8
East,Brooklyn,32,20,12,62.5,11-5,9-7
East,Boston,8,5,3,62.5,3-1,2-2
East,Atlanta,8,5,3,62.5,2-1,3-2
East,Cleveland,16,10,6,62.5,6-1,4-5
East,Cleveland,24,15,9,62.5,10-1,5-8
East,Indiana,16,10,6,62.5,6-3,4-3
East,Atlanta,16,10,6,62.5,6-3,4-3
East,Toronto,8,5,3,62.5,3-1,2-2
East,Cleveland,29,18,11,62.1,12-2,6-9
East,Cleveland,21,13,8,61.9,8-1,5-7
East,Cleveland,13,8,5,61.5,4-1,4-4
East,Atlanta,13,8,5,61.5,5-2,3-3
East,Cleveland,26,16,10,61.5,11-2,5-8
East,Brooklyn,31,19,12,61.3,10-5,9-7
East,Indiana,18,11,7,61.1,7-4,4-3
East,Atlanta,18,11,7,61.1,7-3,4-4
East,Cleveland,28,17,11,60.7,12-2,5-9
East,Indiana,20,12,8,60.0,7-4,5-4
East,Toronto,5,3,2,60.0,2-0,1-2
East,New York,5,3,2,60.0,3-0,0-2
East,Chicago,5,3,2,60.0,2-1,1-1
East,Cleveland,15,9,6,60.0,5-1,4-5
East,Atlanta,15,9,6,60.0,5-3,4-3
East,Philadelphia,30,18,12,60.0,13-5,5-7
East,Boston,5,3,2,60.0,1-1,2-1
