TEAM_NAME,SEASON,TOTAL_GAMES,HOME_WINS,HOME_WIN_PCT,AVG_PTS_SCORED
Cavaliers,2022,20,17,85.00,112.5
Grizzlies,2022,17,14,82.35,118.0
Pelicans,2022,19,15,78.95,116.9
Warriors,2022,18,14,77.78,119.5
76ers,2022,20,15,75.00,111.3
Suns,2022,19,14,73.68,116.2
Nuggets,2022,15,11,73.33,115.9
Bucks,2022,20,14,70.00,115.9
Kings,2022,16,11,68.75,124.4
Mavericks,2022,18,12,66.67,111.4
Celtics,2022,18,12,66.67,122.3
Hawks,2022,17,11,64.71,114.5
Raptors,2022,19,12,63.16,113.4
Jazz,2022,19,12,63.16,119.4
Nets,2022,18,11,61.11,112.4
Heat,2022,19,11,57.89,110.8
Knicks,2022,19,11,57.89,116.6
Clippers,2022,21,12,57.14,106.2
Thunder,2022,17,9,52.94,115.4
Pacers,2022,17,9,52.94,116.1
Bulls,2022,17,9,52.94,115.4
Magic,2022,19,10,52.63,112.8
Wizards,2022,16,8,50.00,110.0
Trail Blazers,2022,14,7,50.00,115.7
Timberwolves,2022,18,9,50.00,116.2
Rockets,2022,17,8,47.06,112.2
Lakers,2022,19,8,42.11,113.0
Spurs,2022,20,5,25.00,108.7
Hornets,2022,18,4,22.22,107.7
Pistons,2022,18,4,22.22,111.3
Warriors,2021,56,45,80.36,113.8
Suns,2021,50,39,78.00,115.1
Mavericks,2021,51,37,72.55,108.4
Heat,2021,54,39,72.22,110.4
Grizzlies,2021,50,36,72.00,116.4
Jazz,2021,46,32,69.57,116.4
Celtics,2021,55,36,65.45,109.2
Bulls,2021,46,30,65.22,113.7
Hawks,2021,46,30,65.22,116.0
Bucks,2021,49,31,63.27,114.0
Timberwolves,2021,46,29,63.04,113.0
76ers,2021,49,30,61.22,110.1
Raptors,2021,46,27,58.70,110.6
Clippers,2021,45,26,57.78,109.0
Cavaliers,2021,44,25,56.82,107.6
Nuggets,2021,44,24,54.55,114.9
Hornets,2021,43,22,51.16,111.8
Nets,2021,46,23,50.00,110.5
Wizards,2021,43,21,48.84,111.5
Pelicans,2021,46,22,47.83,111.3
Lakers,2021,44,21,47.73,111.3
Knicks,2021,44,20,45.45,106.7
